,open_time,liquidation_long,liquidation_short,oi,top_ls_account,top_ls_position,global_ls_account,buy_sell_ratio,closeprice,mark_closeprice,volume,number
988,1645786800,0,0,2679994414,1.1739,1.0886,1.0479,1.0475,38568.6,38568.6,7168.257,72777.0
989,1645788600,156984,0,2682737631,1.173,1.0903,1.0446,1.0609,38730.0,38729.97338419,10669.519,105784.0
990,1645790400,169827,931,2703933750,1.1839,1.0941,1.067,1.1693,38801.1,38807.86237631,15413.198,155784.0
991,1645792200,797799,804,2699458569,1.2007,1.0964,1.1004,1.165,39338.1,39328.3,17840.514,174534.0
992,1645794000,18453,0,2734198787,1.2095,1.1045,1.1436,1.1252,39326.5,39318.2,11849.827,121621.0
993,1645795800,243438,0,2746999284,1.2119,1.0946,1.1445,1.1872,39340.2,39341.57441078,16391.238,155452.0
994,1645797600,0,364,2717437256,1.2129,1.0899,1.1594,0.9032,39234.7,39246.6714033,9378.764,99508.0
995,1645799400,0,0,2716521097,1.1791,1.0922,1.103,1.0137,38990.0,38977.1,18676.924,173967.0
996,1645801200,0,1024,2686853726,1.192,1.0837,1.1146,1.2644,39314.8,39324.24037032,24748.047,227223.0
997,1645803000,304298,373,2728230699,1.1683,1.0828,1.0833,1.1513,39388.5,39417.6,13509.909,134370.0
998,1645804800,1815,0,2740105713,1.1608,1.0867,1.0751,0.9753,39273.2,39279.72919831,11972.511,120038.0
999,1645806600,0,0,2759525012,1.1354,1.0872,1.0454,1.1309,39360.5,39358.65534068,6303.373,68953.0
1000,1645808400,55,41754,2759253961,1.1354,1.0862,1.0488,0.8632,39144.0,39144.1,10150.906,100943.0
1001,1645810200,0,116258,2739595750,1.1515,1.0826,1.0593,0.7999,38965.0,38967.6,6537.564,73291.0
1002,1645812000,109,279755,2724501742,1.1524,1.0817,1.0555,1.003,38756.4,38747.29956185,12798.214,131035.0
1003,1645813800,0,456,2694251031,1.1473,1.0801,1.045,0.9103,38645.2,38650.0,6092.165,65596.0
1004,1645815600,0,3570,2686176082,1.1358,1.084,1.0235,1.1542,38819.1,38818.43315791,9134.529,83741.0
1005,1645817400,0,0,2695819656,1.1566,1.0813,1.0547,1.0547,38667.3,38663.9,6061.161,63293.0
1006,1645819200,0,0,2680547332,1.1589,1.0822,1.0555,1.268,38724.0,38725.3,4581.058,55586.0
1007,1645821000,702713,50929,2690028296,1.1584,1.0812,1.0572,1.4346,39091.7,39098.35992432,8135.04,85896.0
1008,1645822800,2393,0,2693430730,1.181,1.0835,1.0903,1.0039,39094.7,39097.5,4217.018,49487.0
1009,1645824600,125,0,2696158400,1.1906,1.0852,1.0995,0.7614,38945.8,38949.9,3281.803,37604.0
1010,1645826400,0,0,2672473386,1.1829,1.0862,1.0825,0.7222,38900.0,38902.71021566,3182.778,40655.0
1011,1645828200,234809,1463,2680624665,1.1915,1.0858,1.0868,1.2988,39400.1,39411.17519861,7904.624,90255.0
1012,1645830000,215863,7808,2701525991,1.2026,1.0924,1.1097,0.9339,39379.7,39383.75286986,7785.229,83411.0
1013,1645831800,31326,737541,2697437838,1.1786,1.0877,1.089,0.951,39205.4,39203.3,7883.862,85751.0
1014,1645833600,64068,0,2680278304,1.1791,1.0842,1.0951,1.2236,39319.9,39321.56879673,5052.814,54460.0
1015,1645835400,619665,223689,2694360756,1.2002,1.0804,1.1044,1.0605,39748.3,39752.9,24235.659,222102.0
1016,1645837200,716,0,2706500794,1.2075,1.105,1.1697,0.9417,39681.1,39689.51515611,5861.621,57394.0
1017,1645839000,1657,0,2710746694,1.2104,1.0987,1.1716,0.7779,39686.8,39696.7610138,3725.541,43144.0
1018,1645840800,313,0,2717198871,1.209,1.0955,1.1683,0.9381,39645.0,39646.30794876,2901.06,35770.0
1019,1645842600,0,0,2721067731,1.2124,1.093,1.1668,0.8873,39540.9,39540.99017766,4887.833,46787.0
1020,1645844400,17421,1483826,2706516603,1.2109,1.0921,1.1598,0.5869,39347.7,39347.62577948,6270.371,57384.0
1021,1645846200,0,0,2682775567,1.2022,1.0861,1.1436,1.0838,39380.0,39388.41220465,2958.732,32935.0
1022,1645848000,0,0,2691970152,1.2129,1.0892,1.1584,0.879,39377.8,39380.4991083,3604.463,39953.0
1023,1645849800,0,0,2696682642,1.2134,1.0926,1.1575,0.9416,39354.3,39349.9,2596.388,30285.0
